Player,Position,Predicted Points,Value
Ollie Watkins,3,22.625746894013975,90.0
Alphonse Areola,0,13.516546610236889,45.0
Ezri Konsa Ngoyo,1,17.57561158494993,45.0
Cole Palmer,2,29.70348131052202,105.0
Benjamin White,1,23.89377690218057,65.0
Bruno Borges Fernandes,2,21.403610845897628,85.0
Trevoh Chalobah,1,17.445075968674118,45.0
Erling Haaland,3,24.272039719453318,150.0
Harry Wilson,2,19.388761907148027,55.0
Jean-Philippe Mateta,3,25.30455614962454,75.0
Eberechi Eze,2,22.796098141290376,70.0
