Player,Position,Predicted Points,Value
Ollie Watkins,3,22.467919705376605,90.0
Alphonse Areola,0,13.422261168011593,45.0
Ezri Konsa Ngoyo,1,17.435567615050303,45.0
Cole Palmer,2,29.466801441804,105.0
Benjamin White,1,23.703389252959724,65.0
Bruno Borges Fernandes,2,21.233065051883102,85.0
Trevoh Chalobah,1,17.30607211768178,45.0
Erling Haaland,3,24.078638039890468,150.0
Harry Wilson,2,19.253514492010797,55.0
Jean-Philippe Mateta,3,25.128042774153677,75.0
Eberechi Eze,2,22.637082657806232,70.0
