Player,Position,Predicted Points,Value
Jérémy Doku,2,21.231479470024194,65
Declan Rice,2,21.101267522574823,65
Alphonse Areola,0,13.625606218837904,45
Ezri Konsa Ngoyo,1,17.509688788709262,45
Phil Foden,2,25.692108644693718,95
Cole Palmer,2,29.96498975633832,105
Benjamin White,1,23.96703593107328,65
Erling Haaland,3,24.25695239502165,150
Jean-Philippe Mateta,3,25.32188032610044,75
Diogo Dalot Teixeira,1,18.3359916698174,50
Eberechi Eze,2,22.78553300964405,70
