team_name,
"Arsenal",
"Aston Villa",
"Bournemouth",
"Brentford",
"Brighton",
"Burnley",
"Chelsea",
"Crystal Palace",
"Everton",
"Fulham",
"Ipswich",
"Leicester",
"Leeds",
"Liverpool",
"Luton",
"Man City",
"Man Utd",
"Newcastle",
"Norwich",
"Nott'm Forest",
"Sheffield Utd",
"Southampton",
"Spurs",
"Watford",
"West Brom",
"West Ham",
"Wolves"
